-42,62
-40,53
-39,54
-38,54
-39,54
-36,1,55
-37,2,57
-35,1,58
-34,1,56
-32,0,54
-32,51
-33,51
-34,1,51
-34,2,51
-34,4,52
-34,4,51
-35,3,51
-36,0,52
-38,53
-43,58
-42,1,59
-33,3,60
-29,6,64
-22,5,58
-14,6
-12,61
2,2,72
-1,2,71
1,-4,61
3,-6,56
-3,0,55
-9,9,47
-10,14,50
-7,25,50
-6,35,52
-12,47,57
-13,48,62
-14,44,58
-13,38,58
-8,34,57
2,31,58
8,36,52
-2,40,48
-7,36,51
-14,3
53,29,117
-60,57,45
-43,33,36
-56,33,29
-51,35,14
-58,37,18
-56,40,21
-42,41,17
-38,41,13
-40,41,28
-39,39,31
-34,37,41
-36,37,46
-31,35,51
-21,39,56
-19,37,54
-21,38,49
-20,36,42
-18,34,52
-16,33,51
-15,28,44
-17,28,43
-27,28,37
-14,34,43
-11,36,49
5,41,44
12,43,46
25,49,44
25,48,41
36,53,44
40,51,33
36,50,29
28,47,25
30,46,22
30,45,30
32,44,26
27,47,25
34,48,20
36,47,15
40,48,18
38,51,17
35,53,22
40,52,17
35,53,21
39,54,22
39,53,18
38,48,30
39,48,33
23,38,41
5,42,49
-12,65,69
-6,78,29
-13,77,22
-18,68,26
-20,62,27
-17,52,26
-13,47,32
-15,54,41
-10,42,54
-12,44,57
-13,43,63
1,28,61
-6,25,66
-21,22,66
-35,6,62
-51,15,56
-42,4
-87,14
-88,12
-62,18
-55,25
-44,38
-46,39
-60,36
-64,44
-53,44
-50,39
-43,44
-47,41
-46,47
-64,45
-53,43
-48,4
-74,37
-88,4
-96,52
-106,56
-93,66
-77,66
-73,65
-63,63
-55,62
8,-52,52
6,-53,47
8,-58,42
6,-59,40
8,-62,37
16,-65,31
19,-65,29
21,-68,25
23,-67,20
27,-59,15
29,-52,14
27,-46,19
22,-34,17
34,-31,15
35,-36,1
40,-33,8
35,-29,2
42,-40,-11
43,-42,-13
34,-36,-5
40,-44,-12
27,-39,-2
33,-41,-5
10,-41,-15
0,-39,-8
-42,4
-59
-57
-56,1
7,-59,8
13,-61,10
10,-59,11
9,-60,27
-61,47
9,-51,41
-84,2
-120
-122
-138
-124
-89,2
-78,4
-92
-92
-62
-47
-25,3
34,-28,18
39,-26,19
49,-20,27
54,-13,36
70,-9,17
66,-8,10
72,-3,1
62,-4,-9
69,-5,1
45,0,-23
64,4,-12
98,1,-1
83,0,-13
64,6,-24
87,8,-6
57,1,-52
80,18,-21
67,23,-5
76,27,29
76,21,14
75,16,-17
74,14,-29
67,15,-23
43,10,-12
41,14,23
60,6,-8
59,11,-14
62,20,-3
59,20,-6
55,22,-7
51,20,-9
53,23,-8
54,33,-6
43,36,-8
44,31,-11
48,36,-9
44,41,-13
47,48,-11
46,50,-11
50,53,-8
44,55,-11
44,53,-10
38,56,-9
47,55,-5
34,54,-7
42,52,-3
36,51,-4
47,52,2
33,48,2
39,45,4
35,48,-3
47,50,4
35,44,1
46,44,1
48,42,-1
41,47,2
37,45,-2
56,41,-6
37,46,-12
40,41,-6
60,30,-20
55,31,-32
51,35,-22
50,30,-24
51,35,-17
47,19,-10
58,14,-6
62,21,-13
62,11,-14
51,24,-25
71,21,-7
61,16,-8
62,17,-11
69,15,-7
41,11,-8
45,11,9
55,5,20
44,-1,18
31,-13,34
27,-20,39
24,-33,19
21,-31,25
15,-37,25
6,-37,37
-40,43
-55,43
-64,4
-80,31
0,-63,14
-61,7
-64,4
-63,8
-75,16
-91,21
-86,36
-73,68
-79,73
-54,92
-47,95
-43,87
-36,83
-36,81
-41,7
-46,65
-27,64
-21,59
-15,51
-4,51
9,20,57
20,33,68
25,31,66
17,22,53
13,15,51
16,8,45
14,7,51
9,12,61
10,9,52
-7,8,40
-20,10,63
-40,16,51
-45,43,54
-43,55,58
-43,64,48
-19,35,58
-16,17,48
4,-21,50
13,-32,47
4,-46,39
1,-54,39
-80,55
-71,72
-70,75
-56,89
-50,94
-37,7
-37,54
-41,6
-32,73
-57,57
-85,61
-76,57
-73,65
-81,49
-53,1,35
-40,1,36
-57,7,16
-32,20,13
-18,26,14
6,44,30
14,46,37
46,64,65
43,59,63
-52,71,103
8,8,-6
20,-2,4
35,21,88
52,16,84
-73,53
-57,51
-65,56
-67,6
-59,61
-43,2,52
-38,5,47
-33,4,44
-33,2,44
-38,47
-44,51
-46,52
-50,51
-50,5
-46,0,49
-45,0,48
-43,47
-44,46
-44,46
-44,46
-44,46
-46,45
-47,46
-50,47
-50,49
-48,45
-54,1,47
-60,10,55
-52,28,74
-40,24,72
-23,40,84
-35,43,70
-29,18,35
-68,3,2
-85
-60
-26
-115
-126
-138
-127
-125
-119
-119
3,-43,-81
1,-42,-71
-95
-89
-81
-70
-79
-89
-94
-99
-86,0,-19
-90,4,-11
-96,3,20
-92,14
-91
-100
-116
-81,8,23
-89,11,14
-97,15,-4
-89,14,-7
-63,13,-5
-50,8,0
-87
-78
-94
-193
-201
-160
-140
-99
-75,1,26
-71,8,40
-54,28,73
-34,39,82
-20,34,86
-15,28,92
-38,21,76
-50,14,65
-62,0,51
-104,18
-119,15
-124,13
-122,1
-117
-111
-82
-55,5
-35,22
-19,39
-39,17
-61,28
-68,41
-110,29
-110,71
-91,89
-63,5,96
-56,10,78
-38,20,77
-35,22,73
-42,17,51
-40,12,40
-41,9,37
-36,0,22
-39,1
-67
-83
-139
-107
-107,9
-131,1
-133,22
-119,54
-125,6
-104,51
-93,6,60
-34,37
-14,17
-21,15
-33,17
-21,27
-46,46
-93,33
-93,43
-86,43
-82,31
-81,13
-100
-111,23,-23
-128,33,-14
-117,10,-13
-72
-48,5
-33,9
3,-35,10
-46,9
-54,7
-75,8
-113,13
-98,2,24
-65,37,53
-52,41,67
-36,35,58
-47,36,49
-35,29,45
-30,25,36
-38,24,37
-41,19,53
-41,20,65
-18,13,76
-26,8,70
-20,10,64
-20,9,58
-23,8,57
-35,12,56
-37,13,57
-29,10,52
-32,7,51
-36,5,51
-37,5
-46,49
-43,49
-45,49
-42,5
-42,47
-52,39
-62,32
-62,29
-61,32
-60,34
-56,37
-58,37
-55,39
-55,4
-53,42
-50,45
-50,47
-51,45
-53,43
-49,43
